A1 should do:
 Day:0 Time:8:02 seletced:M1 ,time when there:Day:0 Time:8:03 time to travel:2
 Connection(from:Base to:M1): Direct connection distance:273.0m
Day:0 Time:11:40 Completed on M4 %2.13
Day:0 Time:11:41 Completed on M4 %2.14
Day:0 Time:11:42 Completed on M4 %2.13
Day:0 Time:11:43 Completed on M4 %2.13
Day:0 Time:11:44 Completed on M4 %2.14
Day:0 Time:11:45 Completed on M4 %2.14
Day:0 Time:11:46 Completed on M4 %2.13
Day:0 Time:11:47 Completed on M4 %2.13
Day:0 Time:11:48 Completed on M4 %2.15
Day:0 Time:11:49 Completed on M4 %2.15
Day:0 Time:11:50 Completed on M4 %2.13
Day:0 Time:11:51 Completed on M4 %2.15
Day:0 Time:11:52 Completed on M4 %2.15
Day:0 Time:11:53 Completed on M4 %2.13
Day:0 Time:11:54 Completed on M4 %2.16
Day:0 Time:11:55 Completed on M4 %2.16
Day:0 Time:11:56 Completed on M4 %2.13
Day:0 Time:11:57 Completed on M4 %2.16
Day:0 Time:11:58 Completed on M4 %2.16
Day:0 Time:11:59 Completed on M4 %2.13
Day:0 Time:12:00 Completed on M4 %2.13
Day:0 Time:12:01 Completed on M4 %2.15
Day:0 Time:12:02 Completed on M4 %2.13
Day:0 Time:12:03 Completed on M4 %2.14
Day:0 Time:12:04 Completed on M4 %2.16
Day:0 Time:12:05 Completed on M4 %2.16
Day:0 Time:12:06 Completed on M4 %2.14
Day:0 Time:12:07 Completed on M4 %2.16
Day:0 Time:12:08 Completed on M4 %2.14
Day:0 Time:12:09 Completed on M4 %2.14
Day:0 Time:12:10 Completed on M4 %2.15
Day:0 Time:12:11 Completed on M4 %2.14
Day:0 Time:12:12 Completed on M4 %2.13
Day:0 Time:12:13 Completed on M4 %2.16
Day:0 Time:12:14 Completed on M4 %2.16
Day:0 Time:12:15 Completed on M4 %2.13
Day:0 Time:12:16 Completed on M4 %2.13
Day:0 Time:12:17 Completed on M4 %2.16
Day:0 Time:12:18 Completed on M4 %2.16
Day:0 Time:12:19 Completed on M4 %2.14
Day:0 Time:12:20 Completed on M4 %2.14
Day:0 Time:12:21 Completed on M4 %2.16
Day:0 Time:12:22 Added to M4 %1.12
 Day:0 Time:12:23 Completed:M4 parcel
 Day:0 Time:12:24 seletced:M5 ,time when there:Day:0 Time:12:24 time to travel:1
 Connection(from:M4 to:M5): Direct connection distance:132.0m
Day:0 Time:12:24 Completed on M5 %0.87
Day:0 Time:12:25 Completed on M5 %0.85
Day:0 Time:12:26 Completed on M5 %0.85
Day:0 Time:12:27 Completed on M5 %0.86
Day:0 Time:12:28 Completed on M5 %0.86
Day:0 Time:12:29 Completed on M5 %0.86
Day:0 Time:12:30 Completed on M5 %0.85
Day:0 Time:12:31 Completed on M5 %0.86
Day:0 Time:12:32 Completed on M5 %0.86
Day:0 Time:12:33 Completed on M5 %0.86
Day:0 Time:12:34 Completed on M5 %0.86
Day:0 Time:12:35 Completed on M5 %0.86
Day:0 Time:12:36 Completed on M5 %0.85
Day:0 Time:12:37 Completed on M5 %0.86
Day:0 Time:12:38 Completed on M5 %0.87
Day:0 Time:12:39 Completed on M5 %0.86
Day:0 Time:12:40 Completed on M5 %0.86
Day:0 Time:12:41 Completed on M5 %0.86
Day:0 Time:12:42 Completed on M5 %0.85
Day:0 Time:12:43 Completed on M5 %0.87
Day:0 Time:12:44 Completed on M5 %0.86
Day:0 Time:12:45 Completed on M5 %0.86
Day:0 Time:12:46 Completed on M5 %0.85
Day:0 Time:12:47 Completed on M5 %0.86
Day:0 Time:12:48 Completed on M5 %0.86
Day:0 Time:12:49 Completed on M5 %0.86
Day:0 Time:12:50 Completed on M5 %0.86
Day:0 Time:12:51 Completed on M5 %0.86
Day:0 Time:12:52 Completed on M5 %0.86
Day:0 Time:12:53 Completed on M5 %0.86
Day:0 Time:12:54 Completed on M5 %0.86
Day:0 Time:12:55 Completed on M5 %0.86
Day:0 Time:12:56 Completed on M5 %0.85
Day:0 Time:12:57 Completed on M5 %0.85
Day:0 Time:12:58 Completed on M5 %0.86
Day:0 Time:12:59 Completed on M5 %0.86
Day:0 Time:13:00 Completed on M5 %0.85
Day:0 Time:13:01 Completed on M5 %0.86
Day:0 Time:13:02 Completed on M5 %0.86
Day:0 Time:13:03 Completed on M5 %0.86
Day:0 Time:13:04 Completed on M5 %0.85
Day:0 Time:13:05 Completed on M5 %0.87
Day:0 Time:13:06 Completed on M5 %0.86
Day:0 Time:13:07 Completed on M5 %0.86
Day:0 Time:13:08 Completed on M5 %0.87
Day:0 Time:13:09 Completed on M5 %0.87
Day:0 Time:13:10 Completed on M5 %0.86
Day:0 Time:13:11 Completed on M5 %0.86
Day:0 Time:13:12 Completed on M5 %0.87
Day:0 Time:13:13 Completed on M5 %0.85
Day:0 Time:13:14 Completed on M5 %0.86
Day:0 Time:13:15 Completed on M5 %0.85
Day:0 Time:13:16 Completed on M5 %0.86
Day:0 Time:13:17 Completed on M5 %0.85
Day:0 Time:13:18 Completed on M5 %0.86
Day:0 Time:13:19 Completed on M5 %0.86
Day:0 Time:13:20 Completed on M5 %0.86
Day:0 Time:13:21 Completed on M5 %0.86
Day:0 Time:13:22 Completed on M5 %0.87
Day:0 Time:13:23 Completed on M5 %0.87
Day:0 Time:13:24 Completed on M5 %0.86
Day:0 Time:13:25 Completed on M5 %0.86
Day:0 Time:13:26 Completed on M5 %0.85
Day:0 Time:13:27 Completed on M5 %0.86
Day:0 Time:13:28 Completed on M5 %0.86
Day:0 Time:13:29 Completed on M5 %0.86
Day:0 Time:13:30 Completed on M5 %0.85
Day:0 Time:13:31 Completed on M5 %0.86
Day:0 Time:13:32 Completed on M5 %0.86
Day:0 Time:13:33 Completed on M5 %0.87
Day:0 Time:13:34 Completed on M5 %0.85
Day:0 Time:13:35 Completed on M5 %0.87
Day:0 Time:13:36 Completed on M5 %0.86
Day:0 Time:13:37 Completed on M5 %0.86
Day:0 Time:13:38 Completed on M5 %0.85
Day:0 Time:13:39 Completed on M5 %0.86
Day:0 Time:13:40 Completed on M5 %0.87
Day:0 Time:13:41 Completed on M5 %0.86
Day:0 Time:13:42 Completed on M5 %0.85
Day:0 Time:13:43 Completed on M5 %0.85
Day:0 Time:13:44 Completed on M5 %0.86
Day:0 Time:13:45 Completed on M5 %0.87
Day:0 Time:13:46 Completed on M5 %0.86
Day:0 Time:13:47 Completed on M5 %0.85
Day:0 Time:13:48 Completed on M5 %0.86
Day:0 Time:13:49 Completed on M5 %0.86
Day:0 Time:13:50 Completed on M5 %0.87
Day:0 Time:13:51 Completed on M5 %0.86
Day:0 Time:13:52 Completed on M5 %0.86
Day:0 Time:13:53 Completed on M5 %0.86
Day:0 Time:13:54 Completed on M5 %0.87
Day:0 Time:13:55 Completed on M5 %0.86
Day:0 Time:13:56 Completed on M5 %0.87
Day:0 Time:13:57 Completed on M5 %0.86
Day:0 Time:13:58 Completed on M5 %0.87
Day:0 Time:13:59 Completed on M5 %0.86
Day:0 Time:14:00 Completed on M5 %0.86
Day:0 Time:14:01 Completed on M5 %0.87
Day:0 Time:14:02 Completed on M5 %0.85
Day:0 Time:14:03 Completed on M5 %0.85
Day:0 Time:14:04 Completed on M5 %0.86
Day:0 Time:14:05 Completed on M5 %0.85
Day:0 Time:14:06 Completed on M5 %0.87
Day:0 Time:14:07 Completed on M5 %0.85
Day:0 Time:14:08 Completed on M5 %0.87
Day:0 Time:14:09 Completed on M5 %0.86
Day:0 Time:14:10 Completed on M5 %0.86
Day:0 Time:14:11 Completed on M5 %0.86
Day:0 Time:14:12 Completed on M5 %0.86
Day:0 Time:14:13 Completed on M5 %0.87
Day:0 Time:14:14 Completed on M5 %0.86
Day:0 Time:14:15 Completed on M5 %0.86
Day:0 Time:14:16 Completed on M5 %0.87
Day:0 Time:14:17 Completed on M5 %0.86
Day:0 Time:14:18 Completed on M5 %0.87
Day:0 Time:14:19 Added to M5 %0.48
 Day:0 Time:14:20 Completed:M5 parcel
 Day:0 Time:14:21 seletced:M2 ,time when there:Day:0 Time:14:26 time to travel:6
 Connection(from:M5 to:M2): M5->M4->M3->M1->M2 distance:1186.0m
Day:0 Time:14:26 Completed on M2 %0.7
Day:0 Time:14:27 Completed on M2 %0.7
Day:0 Time:14:28 Completed on M2 %0.69
Day:0 Time:14:29 Completed on M2 %0.7
Day:0 Time:14:30 Completed on M2 %0.7
Day:0 Time:14:31 Completed on M2 %0.7
Day:0 Time:14:32 Completed on M2 %0.69
Day:0 Time:14:33 Completed on M2 %0.7
Day:0 Time:14:34 Completed on M2 %0.7
Day:0 Time:14:35 Completed on M2 %0.7
Day:0 Time:14:36 Completed on M2 %0.7
Day:0 Time:14:37 Completed on M2 %0.7
Day:0 Time:14:38 Completed on M2 %0.69
Day:0 Time:14:39 Completed on M2 %0.7
Day:0 Time:14:40 Completed on M2 %0.7
Day:0 Time:14:41 Completed on M2 %0.7
Day:0 Time:14:42 Completed on M2 %0.7
Day:0 Time:14:43 Completed on M2 %0.7
Day:0 Time:14:44 Completed on M2 %0.7
Day:0 Time:14:45 Completed on M2 %0.7
Day:0 Time:14:46 Completed on M2 %0.69
Day:0 Time:14:47 Completed on M2 %0.7
Day:0 Time:14:48 Completed on M2 %0.7
Day:0 Time:14:49 Completed on M2 %0.69
Day:0 Time:14:50 Completed on M2 %0.69
Day:0 Time:14:51 Completed on M2 %0.7
Day:0 Time:14:52 Completed on M2 %0.7
Day:0 Time:14:53 Completed on M2 %0.7
Day:0 Time:14:54 Completed on M2 %0.7
Day:0 Time:14:55 Completed on M2 %0.7
Day:0 Time:14:56 Completed on M2 %0.7
Day:0 Time:14:57 Completed on M2 %0.7
Day:0 Time:14:58 Completed on M2 %0.7
Day:0 Time:14:59 Completed on M2 %0.7
Day:0 Time:15:00 Completed on M2 %0.7
Day:0 Time:15:01 Completed on M2 %0.71
Day:0 Time:15:02 Completed on M2 %0.69
Day:0 Time:15:03 Completed on M2 %0.7
Day:0 Time:15:04 Completed on M2 %0.7
Day:0 Time:15:05 Completed on M2 %0.69
Day:0 Time:15:06 Completed on M2 %0.7
Day:0 Time:15:07 Completed on M2 %0.7
Day:0 Time:15:08 Completed on M2 %0.7
Day:0 Time:15:09 Completed on M2 %0.7
Day:0 Time:15:10 Completed on M2 %0.69
Day:0 Time:15:11 Completed on M2 %0.7
Day:0 Time:15:12 Completed on M2 %0.7
Day:0 Time:15:13 Completed on M2 %0.69
Day:0 Time:15:14 Completed on M2 %0.7
Day:0 Time:15:15 Completed on M2 %0.7
Day:0 Time:15:16 Completed on M2 %0.71
Day:0 Time:15:17 Completed on M2 %0.7
Day:0 Time:15:18 Completed on M2 %0.69
Day:0 Time:15:19 Completed on M2 %0.7
Day:0 Time:15:20 Completed on M2 %0.7
Day:0 Time:15:21 Completed on M2 %0.7
Day:0 Time:15:22 Completed on M2 %0.7
Day:0 Time:15:23 Completed on M2 %0.7
Day:0 Time:15:24 Completed on M2 %0.7
Day:0 Time:15:25 Completed on M2 %0.7
Day:0 Time:15:26 Completed on M2 %0.69
Day:0 Time:15:27 Completed on M2 %0.7
