0    2012-06-23 20:57:06,554 [main] INFO  main.MainFrame  - APPLICATION Started
758016 2012-06-23 21:09:44,570 [AWT-EventQueue-0] INFO  control.Control2  - Items selected from operations populate list with compatible equipments [Harvest ]
758387 2012-06-23 21:09:44,941 [AWT-EventQueue-0] INFO  control.Control2  - Items selected from operations populate list with compatible equipments [Plowing ]
758951 2012-06-23 21:09:45,505 [AWT-EventQueue-0] INFO  control.Control2  - Items selected from operations populate list with compatible equipments [Manuring ]
774903 2012-06-23 21:10:01,457 [AWT-EventQueue-0] INFO  control.Control2  - Items selected from operations populate list with compatible equipments [Harvest Plowing Manuring ]
774944 2012-06-23 21:10:01,498 [AWT-EventQueue-0] INFO  control.Control2  - Items selected from operations populate list with compatible equipments [Harvest Plowing Manuring ]
817195 2012-06-23 21:10:43,749 [AWT-EventQueue-0] INFO  control.Control2  - [F1.7] Simulation start button pressed
817195 2012-06-23 21:10:43,749 [AWT-EventQueue-0] INFO  control.Control2  - [F1.7] Simulation started wih operations[Harvest, Plowing, Manuring] using machines [B101, B102, B103, A100, A101, A102, A103] on parcells [BotizA1, BotizA2, BotizA3, BotizA4, BotizB1, BotizB2]
853048 2012-06-23 21:11:19,602 [Thread-3] INFO  calculations.simulation.Simulate  - [F1.7] Simulation completed 
867635 2012-06-23 21:11:34,189 [AWT-EventQueue-0] INFO  control.Control2  - Action perforemed on start menu item
868448 2012-06-23 21:11:35,002 [AWT-EventQueue-0] INFO  control.Control2  - [F1.8] Virtual globe started
981639 2012-06-23 21:13:28,193 [AWT-EventQueue-0] INFO  appmap.ParcelToolPanel  - [F1.9] parcel created with name 1111 area 4.934454713929571
1128092 2012-06-23 21:15:54,646 [AWT-EventQueue-0] INFO  appmap.ParcelToolPanel  - [F2.1] create path between Base and Base
1168942 2012-06-23 21:16:35,496 [AWT-EventQueue-0] INFO  appmap.ParcelToolPanel  - [F2.1] delete path with id 13
1194765 2012-06-23 21:17:01,319 [AWT-EventQueue-0] INFO  appmap.ParcelToolPanel  - [F1.9] delete parcell with name 1111
1224598 2012-06-23 21:17:31,152 [AWT-EventQueue-0] INFO  appmap.ParcelToolPanel  - [F2.4] annimation thread started
1304520 2012-06-23 21:18:51,074 [AWT-EventQueue-0] INFO  control.Control2  - Action perforemed on bases menu item
1329220 2012-06-23 21:19:15,774 [AWT-EventQueue-0] INFO  control.Control2  - [F1.1] Deleted base with name base1
